trade_date,portfolio_return,scheme
2024-05-20,-0.0056143784725970255,Inertia(2.0σ)
2024-05-21,-0.002986281760579053,Inertia(2.0σ)
2024-05-22,0.0020294530058386846,Inertia(2.0σ)
2024-05-23,-0.01901551623808048,Inertia(2.0σ)
2024-05-24,-0.009377634542701603,Inertia(2.0σ)
2024-05-27,0.0031770031967240414,Inertia(2.0σ)
2024-05-28,-0.02074813221813656,Inertia(2.0σ)
2024-05-29,-0.0007270932085862381,Inertia(2.0σ)
2024-05-30,-0.015427297448806871,Inertia(2.0σ)
2024-05-31,0.003621891486714368,Inertia(2.0σ)
2024-06-04,-0.01400194392598851,Inertia(2.0σ)
2024-06-05,-0.01942082301138689,Inertia(2.0σ)
2024-06-06,-0.03564989744053185,Inertia(2.0σ)
2024-06-07,0.027929629821863016,Inertia(2.0σ)
2024-06-11,0.0011195685915941962,Inertia(2.0σ)
2024-06-12,0.017718315138728458,Inertia(2.0σ)
2024-06-13,-0.004948394963121502,Inertia(2.0σ)
2024-06-14,0.00674339168081548,Inertia(2.0σ)
2024-06-17,-0.008897570587960169,Inertia(2.0σ)
2024-06-18,0.010984320936835346,Inertia(2.0σ)
2024-06-19,-0.006377653321533446,Inertia(2.0σ)
2024-06-20,-0.018487925736312593,Inertia(2.0σ)
2024-06-21,0.003928168813480962,Inertia(2.0σ)
2024-06-24,-0.045441388290671486,Inertia(2.0σ)
2024-06-25,-0.004972630229321765,Inertia(2.0σ)
2024-06-26,0.03651425434517588,Inertia(2.0σ)
2024-06-27,-0.017499720052210153,Inertia(2.0σ)
2024-06-28,-0.0018866471168045517,Inertia(2.0σ)
2024-07-02,0.014830750197972413,Inertia(2.0σ)
2024-07-03,-0.006143769876842575,Inertia(2.0σ)
2024-07-04,-0.027442902768565352,Inertia(2.0σ)
2024-07-05,0.007364945290541044,Inertia(2.0σ)
2024-07-08,-0.018307614898720806,Inertia(2.0σ)
2024-07-09,0.010455402687734202,Inertia(2.0σ)
2024-07-10,-0.004492475116263369,Inertia(2.0σ)
2024-07-11,0.027096316906556242,Inertia(2.0σ)
2024-07-12,-0.010887257502869962,Inertia(2.0σ)
2024-07-15,-0.022892531810373096,Inertia(2.0σ)
2024-07-16,0.015209030219410462,Inertia(2.0σ)
2024-07-17,0.001691493340720481,Inertia(2.0σ)
2024-07-18,-0.015416765787846254,Inertia(2.0σ)
2024-07-19,0.007408632673914887,Inertia(2.0σ)
2024-07-22,0.005125181975444056,Inertia(2.0σ)
2024-07-23,-0.010056738197617588,Inertia(2.0σ)
2024-07-24,-0.015014519903151051,Inertia(2.0σ)
2024-07-25,0.0035214379517276573,Inertia(2.0σ)
2024-07-26,0.013039986082620143,Inertia(2.0σ)
2024-07-29,-0.005401002727365582,Inertia(2.0σ)
2024-07-30,0.007571352653603988,Inertia(2.0σ)
2024-07-31,0.02450361447209403,Inertia(2.0σ)
2024-08-02,-0.014771629879217015,Inertia(2.0σ)
2024-08-05,-0.021789211218247808,Inertia(2.0σ)
2024-08-06,0.013671745612431044,Inertia(2.0σ)
2024-08-07,0.0012804467614284812,Inertia(2.0σ)
2024-08-08,0.0025883814186765442,Inertia(2.0σ)
2024-08-09,-0.002919940673779675,Inertia(2.0σ)
2024-08-12,-0.0014917262261414433,Inertia(2.0σ)
2024-08-13,0.004766784366022736,Inertia(2.0σ)
2024-08-14,-0.0075236476238061956,Inertia(2.0σ)
2024-08-15,0.008582771324739799,Inertia(2.0σ)
2024-08-16,-0.0058591242762630205,Inertia(2.0σ)
2024-08-19,-0.001408406071601805,Inertia(2.0σ)
2024-08-20,-0.014722789992420559,Inertia(2.0σ)
2024-08-21,-0.0019021432798205895,Inertia(2.0σ)
2024-08-22,-0.013632091260476745,Inertia(2.0σ)
2024-08-23,-0.006420036772785576,Inertia(2.0σ)
2024-08-26,0.014368557373120157,Inertia(2.0σ)
2024-08-27,-0.01990349595652706,Inertia(2.0σ)
2024-08-28,0.010547063461230643,Inertia(2.0σ)
2024-08-29,0.007981074869631089,Inertia(2.0σ)
2024-08-30,0.012075583974826443,Inertia(2.0σ)
2024-09-03,0.008692420491972452,Inertia(2.0σ)
2024-09-04,-0.006812368356747219,Inertia(2.0σ)
2024-09-05,0.00966591434726829,Inertia(2.0σ)
2024-09-06,-0.01020314945003815,Inertia(2.0σ)
2024-09-09,-0.011107560963226678,Inertia(2.0σ)
2024-09-10,0.009399894478692028,Inertia(2.0σ)
2024-09-11,-0.0052174208802889584,Inertia(2.0σ)
2024-09-12,-0.004317460059893878,Inertia(2.0σ)
2024-09-13,-0.00977758919901383,Inertia(2.0σ)
2024-09-18,-0.011700318631777888,Inertia(2.0σ)
2024-09-19,0.026870248624882277,Inertia(2.0σ)
2024-09-20,0.0007357858759735529,Inertia(2.0σ)
2024-09-23,-0.003154391865977657,Inertia(2.0σ)
2024-09-24,0.025066294136273252,Inertia(2.0σ)
2024-09-25,0.010173436053013714,Inertia(2.0σ)
2024-09-26,0.02264943224288234,Inertia(2.0σ)
2024-09-27,0.062233284228181994,Inertia(2.0σ)
2024-09-30,0.13166025757885572,Inertia(2.0σ)
2024-10-09,-0.11870668311459177,Inertia(2.0σ)
2024-10-10,-0.00849750158946554,Inertia(2.0σ)
2024-10-11,-0.054503854267437014,Inertia(2.0σ)
2024-10-14,0.03515387412004148,Inertia(2.0σ)
2024-10-15,-0.013490059308403376,Inertia(2.0σ)
2024-10-16,0.034560699887134144,Inertia(2.0σ)
2024-10-17,0.014738393533305987,Inertia(2.0σ)
2024-10-18,0.04705267472363767,Inertia(2.0σ)
2024-10-21,0.0932197521697185,Inertia(2.0σ)
2024-10-22,-0.0017994278709445746,Inertia(2.0σ)
2024-10-23,0.020753179859615462,Inertia(2.0σ)
2024-10-24,0.029374417553759,Inertia(2.0σ)
2024-10-25,0.00316913875959231,Inertia(2.0σ)
2024-10-28,0.03426634138057659,Inertia(2.0σ)
2024-10-29,0.045219471929169655,Inertia(2.0σ)
2024-10-30,0.06878976448088898,Inertia(2.0σ)
2024-10-31,-0.012422209472671253,Inertia(2.0σ)
2024-11-04,0.033424567088633686,Inertia(2.0σ)
2024-11-05,0.07070501882870371,Inertia(2.0σ)
2024-11-06,0.031003732505355278,Inertia(2.0σ)
2024-11-07,0.06637184928050582,Inertia(2.0σ)
2024-11-08,-0.03462713521660957,Inertia(2.0σ)
2024-11-11,0.00988138556468972,Inertia(2.0σ)
2024-11-12,-0.008951588173948675,Inertia(2.0σ)
2024-11-13,0.008490802898100915,Inertia(2.0σ)
2024-11-14,-0.010946705385126598,Inertia(2.0σ)
2024-11-15,0.00841345051294627,Inertia(2.0σ)
2024-11-18,0.02143698257539382,Inertia(2.0σ)
2024-11-19,-0.010948687251793257,Inertia(2.0σ)
2024-11-20,0.06400150598080513,Inertia(2.0σ)
2024-11-21,0.028973827438355953,Inertia(2.0σ)
2024-11-22,-0.04782522491406971,Inertia(2.0σ)
2024-11-25,0.025282132087403486,Inertia(2.0σ)
2024-11-26,-0.0004569837585021798,Inertia(2.0σ)
2024-11-27,0.044531424419813885,Inertia(2.0σ)
2024-11-28,0.01284853877710134,Inertia(2.0σ)
2024-11-29,0.0033613072895534563,Inertia(2.0σ)
2024-12-03,-0.0004650637137438168,Inertia(2.0σ)
2024-12-04,-0.007226926761944985,Inertia(2.0σ)
2024-12-05,0.021995444762914405,Inertia(2.0σ)
2024-12-06,0.00961111595935907,Inertia(2.0σ)
2024-12-09,0.0004410397811032955,Inertia(2.0σ)
2024-12-10,0.005326858320457895,Inertia(2.0σ)
2024-12-11,0.013713631166155005,Inertia(2.0σ)
2024-12-12,0.015491782871296845,Inertia(2.0σ)
2024-12-13,-0.019924231532111914,Inertia(2.0σ)
2024-12-16,0.00019036553297084867,Inertia(2.0σ)
2024-12-17,-0.05021797074164094,Inertia(2.0σ)
2024-12-18,0.006581485924177007,Inertia(2.0σ)
2024-12-19,-0.00039238446315363146,Inertia(2.0σ)
2024-12-20,0.013535303543499818,Inertia(2.0σ)
2024-12-23,-0.0489867387722968,Inertia(2.0σ)
2024-12-24,-0.0010549654899283242,Inertia(2.0σ)
2024-12-25,-0.028073266195207655,Inertia(2.0σ)
2024-12-26,0.014708133799648252,Inertia(2.0σ)
2024-12-27,0.009619313515160054,Inertia(2.0σ)
2024-12-30,-0.00997134408182409,Inertia(2.0σ)
2024-12-31,-0.01933464572095572,Inertia(2.0σ)
2025-01-03,-0.043512629287692346,Inertia(2.0σ)
2025-01-06,-0.008990465563266,Inertia(2.0σ)
2025-01-07,0.02928543608201927,Inertia(2.0σ)
2025-01-08,-0.00814560683024,Inertia(2.0σ)
2025-01-09,0.012855625060929314,Inertia(2.0σ)
2025-01-10,-0.02217401369323686,Inertia(2.0σ)
2025-01-13,-0.005722656235796775,Inertia(2.0σ)
2025-01-14,0.04910090045991048,Inertia(2.0σ)
2025-01-15,-0.008879364710530569,Inertia(2.0σ)
2025-01-16,0.003149756762668436,Inertia(2.0σ)
2025-01-17,0.01188056356411488,Inertia(2.0σ)
2025-01-20,0.008343824490969702,Inertia(2.0σ)
2025-01-21,0.0016653828203454142,Inertia(2.0σ)
2025-01-22,-0.0012114182948763873,Inertia(2.0σ)
2025-01-23,-0.0004440951759508982,Inertia(2.0σ)
2025-01-24,0.0006336329213271129,Inertia(2.0σ)
2025-01-27,-0.016687798838730474,Inertia(2.0σ)
2025-02-06,0.021033983426825352,Inertia(2.0σ)
2025-02-07,0.013495821809419713,Inertia(2.0σ)
2025-02-10,0.03768887539636183,Inertia(2.0σ)
2025-02-11,0.004592379982794722,Inertia(2.0σ)
2025-02-12,0.022212304918115447,Inertia(2.0σ)
2025-02-13,-0.003642203319269055,Inertia(2.0σ)
2025-02-14,0.009054735580508948,Inertia(2.0σ)
2025-02-17,0.0169729183724204,Inertia(2.0σ)
2025-02-18,-0.038752226657384294,Inertia(2.0σ)
2025-02-19,0.024378037959931907,Inertia(2.0σ)
2025-02-20,0.02715432590156101,Inertia(2.0σ)
2025-02-21,-0.0043778265258175375,Inertia(2.0σ)
